Potential (V),Current (A)
0.300678730010986,0.0000000190248101716861
0.305851459503174,0.000000026755515136756
0.310506820678711,0.0000000286881913780235
0.315679550170898,0.0000000302989064948633
0.32059383392334,0.0000000309428287437186
0.325508117675781,0.0000000315867509925738
0.330422401428223,0.0000000325535438605584
0.33559513092041,0.0000000331974661094137
0.340509414672852,0.0000000338413883582689
0.345811367034912,0.0000000338413883582689
0.350725650787354,0.0000000335194272338413
0.355510234832764,0.000000036096025723964
0.360553741455078,0.000000036740857467521
0.365597248077393,0.0000000389954948332161
0.370511531829834,0.0000000380287019652314
0.375555038452148,0.0000000396394170820713
0.380727767944336,0.0000000402833393309265
0.385512828826904,0.0000000402833393309265
0.390685558319092,0.0000000409281710744835
0.395470142364502,0.0000000431828084401786
0.400643348693848,0.000000042860847315751
0.405945301055908,0.0000000438267306890339
0.410471439361572,0.000000042860847315751
0.415773868560791,0.0000000444706529378891
0.420558452606201,0.0000000467252903035842
0.425731182098389,0.0000000457594069303013
0.430387020111084,0.0000000470481609227136
0.435559749603271,0.0000000476920831715688
0.440732479095459,0.0000000480140442959964
0.445517539978027,0.0000000470481609227136
0.450819492340088,0.0000000489799276692793
0.455733776092529,0.0000000493027982884087
0.460647583007813,0.0000000502686816616915
0.466208457946777,0.0000000515574356541038
0.470864295959473,0.0000000509126039105468
0.475778102874756,0.0000000512354745296761
0.480563163757324,0.0000000525233190273866
0.485735893249512,0.0000000528452801518142
0.49052095413208,0.0000000544559952686541
0.495693683624268,0.0000000560667103854939
0.500866413116455,0.0000000563886715099216
0.505392551422119,0.0000000563886715099216
0.510565280914307,0.0000000557447492610663
0.515479564666748,0.0000000576774255023338
0.520523071289063,0.0000000586433088756166
0.525437355041504,0.0000000592872311244719
0.530351638793945,0.0000000599320628680289
0.535653591156006,0.0000000605759851168841
0.540438175201416,0.0000000628306224825792
0.545352458953857,0.0000000628306224825792
0.550654888153076,0.0000000647632987238467
0.555568695068359,0.0000000644413375994191
0.560482978820801,0.0000000654072209727019
0.565655708312988,0.0000000660520527162589
0.570440769195557,0.000000067661858338397
0.575742721557617,0.0000000689506123308092
0.580398559570313,0.0000000695945345796645
0.585442066192627,0.0000000705613274476491
0.59035587310791,0.0000000705613274476491
0.595399379730225,0.0000000734598870621994
0.600442886352539,0.0000000747486410546117
0.605615615844727,0.0000000757145244278945
0.610142230987549,0.0000000766813172958791
0.615444183349609,0.0000000773252395447344
0.62022876739502,0.0000000786139935371466
0.625272274017334,0.0000000802237991592847
0.63044548034668,0.0000000811905920272693
0.635100841522217,0.0000000828013071441092
0.640144348144531,0.0000000847339833853766
0.644799709320068,0.0000000863437890075147
0.649972438812256,0.0000000863437890075147
0.655274868011475,0.0000000885984263732098
0.659930229187012,0.0000000908530637389049
0.665102958679199,0.0000000914978954824619
0.670146465301514,0.0000000940744939725846
0.675189971923828,0.0000000943964550970122
0.679975032806396,0.0000000969730535871349
0.685018539428711,0.0000000972959242062643
0.690191268920898,0.00000009922769095283
0.694976329803467,0.00000010083840606967
0.700149059295654,0.00000010083840606967
0.705709457397461,0.000000101805198937654
0.710365295410156,0.000000104703758552205
0.71489143371582,0.000000105669641925488
0.719934940338135,0.0000001069583959179
0.725107669830322,0.000000107602318166755
0.730151176452637,0.00000010856911103474
0.735453128814697,0.000000110823748400435
0.740108966827393,0.000000111789631773718
0.745152473449707,0.000000113722308014985
0.750195980072021,0.000000115011062007397
0.755110263824463,0.000000116943738248665
0.760153293609619,0.000000117909621621948
0.765326499938965,0.0000001208090907312
0.769852638244629,0.000000120487129606772
0.775154590606689,0.00000012209693522891
0.780068874359131,0.000000124029611470178
0.784724235534668,0.00000012692908057943
0.790026664733887,0.00000012821692507714
0.795070171356201,0.000000129183717945125
0.799983978271484,0.000000130471562442835
0.804898262023926,0.000000134658876049798
0.809812545776367,0.000000135625668917783
0.815114498138428,0.000000138202267407905
0.819899559020996,0.0000001404569047736
0.825072288513184,0.00000014206761989044
0.829986572265625,0.000000144966179504991
0.835030078887939,0.00000014818760973867
0.84033203125,0.000000149475454236381
0.845117092132568,0.000000153985638462473
0.850030899047852,0.000000155917405209038
0.854945182800293,0.000000159782757691573
0.859859466552734,0.000000163326149049681
0.864902973175049,0.000000183940755960066
0.869687557220459,0.000000186839315574616
0.874860763549805,0.000000192315383173991
0.880033493041992,0.000000198757334146649
0.884688854217529,0.000000202944647753611
0.889732360839844,0.000000209386598726269
0.894646644592285,0.000000215184627450071
0.900465965270996,0.000000222270500671584
0.904862880706787,0.000000229679244512226
0.909647941589355,0.000000236121195484884
0.91469144821167,0.000000247072421188932
0.91947603225708,0.000000257701685768552
0.924778461456299,0.000000270907548838295
0.929692268371582,0.00000027928217605222
0.934606552124023,0.00000029313287086552
0.939779281616211,0.00000030827141017653
0.944564342498779,0.000000324376742355525
0.949995517730713,0.000000342735802405514
0.954909801483154,0.000000362384525942616
0.959694862365723,0.000000386219653591979
0.964996814727783,0.00000040908889786806
0.969781875610352,0.00000043356885726098
0.974954605102539,0.000000464167897007428
0.979998111724854,0.000000496378561365418
0.985170841217041,0.000000532131707586814
0.989955425262451,0.000000573038050788455
0.994998931884766,0.000000617487785348203
0.999913215637207,0.000000664515027892776
1.00521564483643,0.000000717339389666449
